mem: 140676402516778, val: 0
mem: 140676402516777, val: 0
mem: 140676402516776, val: 0
mem: 140676402516775, val: 0
mem: 140676402516774, val: 0
mem: 140676402516773, val: 0
mem: 140676402516772, val: 0
mem: 140676402516771, val: 0
mem: 140676402516770, val: 0
mem: 140676402516769, val: 0
mem: 140676402516768, val: 0
mem: 140676402516767, val: 0
mem: 140676402516766, val: 0
mem: 140676402516765, val: 0
mem: 140676402516764, val: 0
mem: 140676402516763, val: 0
mem: 140676402516762, val: 0
mem: 140676402516761, val: 0
mem: 140676402516760, val: 0
mem: 140676402516759, val: 0
mem: 140676402516758, val: 0
mem: 140676402516757, val: 0
mem: 140676402516756, val: 0
mem: 140676402516755, val: 0
mem: 140676402516754, val: 0
mem: 140676402516753, val: 0
mem: 140676402516752, val: 0
mem: 140676402516751, val: 0
mem: 140676402516750, val: 0
mem: 140676402516749, val: 0
mem: 140676402516748, val: 0
mem: 140676402516747, val: 0
mem: 140676402516746, val: 0
mem: 140676402516745, val: 0
mem: 140676402516744, val: 0
mem: 140676402516743, val: 0
mem: 140676402516742, val: 0
mem: 140676402516741, val: 0
mem: 140676402516740, val: 0
mem: 140676402516739, val: 0
mem: 140676402516738, val: 0
mem: 140676402516737, val: 0
mem: 140676402516736, val: 0
mem: 140676402516735, val: 0
mem: 140676402516734, val: 0
mem: 140676402516733, val: 0
mem: 140676402516732, val: 0
mem: 140676402516731, val: 0
mem: 140676402516730, val: 0
mem: 140676402516729, val: 0
mem: 140676402516728, val: 0
mem: 140676402516727, val: 0
mem: 140676402516726, val: 0
mem: 140676402516725, val: 0
mem: 140676402516724, val: 0
mem: 140676402516723, val: 0
mem: 140676402516722, val: 0
mem: 140676402516721, val: 0
mem: 140676402516720, val: 0
mem: 140676402516719, val: 0
mem: 140676402516718, val: 0
mem: 140676402516717, val: 0
mem: 140676402516716, val: 0
mem: 140676402516715, val: 0
mem: 140676402516714, val: 0
mem: 140676402516713, val: 0
mem: 140676402516712, val: 0
mem: 140676402516711, val: 0
mem: 140676402516710, val: 0
mem: 140676402516709, val: 0
mem: 140676402516708, val: 0
mem: 140676402516707, val: 0
mem: 140676402516706, val: 0
mem: 140676402516705, val: 0
mem: 140676402516704, val: 0
mem: 140676402516703, val: 0
mem: 140676402516702, val: 0
mem: 140676402516701, val: 0
mem: 140676402516700, val: 0
mem: 140676402516699, val: 0
mem: 140676402516698, val: 0
mem: 140676402516697, val: 0
mem: 140676402516696, val: 0
mem: 140676402516695, val: 0
mem: 140676402516694, val: 0
mem: 140676402516693, val: 0
mem: 140676402516692, val: 0
mem: 140676402516691, val: 0
mem: 140676402516690, val: 0
mem: 140676402516689, val: 0
mem: 140676402516688, val: 0
mem: 140676402516687, val: 0
mem: 140676402516686, val: 0
mem: 140676402516685, val: 0
mem: 140676402516684, val: 0
mem: 140676402516683, val: 0
mem: 140676402516682, val: 0
mem: 140676402516681, val: 0
mem: 140676402516680, val: 0
mem: 140676402516679, val: 0
mem: 140676402516678, val: 0
mem: 140676402516677, val: 0
mem: 140676402516676, val: 0
mem: 140676402516675, val: 0
mem: 140676402516674, val: 0
mem: 140676402516673, val: 0
mem: 140676402516672, val: 0
mem: 140676402516671, val: 0
mem: 140676402516670, val: 0
mem: 140676402516669, val: 0
mem: 140676402516668, val: 0
mem: 140676402516667, val: 0
mem: 140676402516666, val: 0
mem: 140676402516665, val: 0
mem: 140676402516664, val: 0
mem: 140676402516663, val: 0
mem: 140676402516662, val: 0
mem: 140676402516661, val: 0
mem: 140676402516660, val: 0
mem: 140676402516659, val: 0
mem: 140676402516658, val: 0
mem: 140676402516657, val: 0
mem: 140676402516656, val: 0
mem: 140676402516655, val: 0
mem: 140676402516654, val: 0
mem: 140676402516653, val: 0
mem: 140676402516652, val: 0
mem: 140676402516651, val: 0
mem: 140676402516650, val: 0
mem: 140676402516649, val: 0
mem: 140676402516648, val: 0
mem: 140676402516647, val: 0
mem: 140676402516646, val: 0
mem: 140676402516645, val: 0
mem: 140676402516644, val: 0
mem: 140676402516643, val: 0
mem: 140676402516642, val: 0
mem: 140676402516641, val: 0
mem: 140676402516640, val: 0
mem: 140676402516639, val: 0
mem: 140676402516638, val: 0
mem: 140676402516637, val: 0
mem: 140676402516636, val: 0
mem: 140676402516635, val: 0
mem: 140676402516634, val: 0
mem: 140676402516633, val: 0
mem: 140676402516632, val: 0
mem: 140676402516631, val: 0
mem: 140676402516630, val: 0
mem: 140676402516629, val: 0
mem: 140676402516628, val: 0
mem: 140676402516627, val: 0
mem: 140676402516626, val: 0
mem: 140676402516625, val: 0
mem: 140676402516624, val: 0
mem: 140676402516623, val: 0
mem: 140676402516622, val: 0
mem: 140676402516621, val: 0
mem: 140676402516620, val: 0
mem: 140676402516619, val: 0
mem: 140676402516618, val: 0
mem: 140676402516617, val: 0
mem: 140676402516616, val: 0
mem: 140676402516615, val: 0
mem: 140676402516614, val: 0
mem: 140676402516613, val: 0
mem: 140676402516612, val: 0
mem: 140676402516611, val: 0
mem: 140676402516610, val: 0
mem: 140676402516609, val: 0
mem: 140676402516608, val: 0
mem: 140676402516607, val: 0
mem: 140676402516606, val: 0
mem: 140676402516605, val: 0
mem: 140676402516604, val: 0
mem: 140676402516603, val: 0
mem: 140676402516602, val: 0
mem: 140676402516601, val: 0
mem: 140676402516600, val: 0
mem: 140676402516599, val: 0
mem: 140676402516598, val: 0
mem: 140676402516597, val: 0
mem: 140676402516596, val: 0
mem: 140676402516595, val: 0
mem: 140676402516594, val: 0
mem: 140676402516593, val: 0
mem: 140676402516592, val: 0
mem: 140676402516591, val: 0
mem: 140676402516590, val: 0
mem: 140676402516589, val: 0
mem: 140676402516588, val: 0
mem: 140676402516587, val: 0
mem: 140676402516586, val: 0
mem: 140676402516585, val: 0
mem: 140676402516584, val: 0
mem: 140676402516583, val: 0
mem: 140676402516582, val: 0
mem: 140676402516581, val: 0
mem: 140676402516580, val: 0
mem: 140676402516579, val: 0
mem: 140676402516578, val: 0
mem: 140676402516577, val: 0
mem: 140676402516576, val: 0
mem: 140676402516575, val: 0
mem: 140676402516574, val: 0
mem: 140676402516573, val: 0
mem: 140676402516572, val: 0
mem: 140676402516571, val: 0
mem: 140676402516570, val: 0
mem: 140676402516569, val: 0
mem: 140676402516568, val: 0
mem: 140676402516567, val: 0
mem: 140676402516566, val: 0
mem: 140676402516565, val: 0
mem: 140676402516564, val: 0
mem: 140676402516563, val: 0
mem: 140676402516562, val: 0
mem: 140676402516561, val: 0
mem: 140676402516560, val: 0
mem: 140676402516559, val: 0
mem: 140676402516558, val: 0
mem: 140676402516557, val: 0
mem: 140676402516556, val: 0
mem: 140676402516555, val: 0
mem: 140676402516554, val: 0
mem: 140676402516553, val: 0
mem: 140676402516552, val: 0
mem: 140676402516551, val: 0
mem: 140676402516550, val: 0
mem: 140676402516549, val: 0
mem: 140676402516548, val: 0
mem: 140676402516547, val: 0
mem: 140676402516546, val: 0
mem: 140676402516545, val: 0
mem: 140676402516544, val: 0
mem: 140676402516543, val: 0
mem: 140676402516542, val: 0
mem: 140676402516541, val: 0
mem: 140676402516540, val: 0
mem: 140676402516539, val: 0
mem: 140676402516538, val: 0
mem: 140676402516537, val: 0
mem: 140676402516536, val: 0
mem: 140676402516535, val: 0
mem: 140676402516534, val: 0
mem: 140676402516533, val: 0
mem: 140676402516532, val: 0
mem: 140676402516531, val: 0
mem: 140676402516530, val: 0
mem: 140676402516529, val: 0
mem: 140676402516528, val: 0
mem: 140676402516527, val: 0
mem: 140676402516526, val: 0
mem: 140676402516525, val: 0
mem: 140676402516524, val: 0
mem: 140676402516523, val: 0
mem: 140676402516522, val: 0
mem: 140676402516521, val: 0
mem: 140676402516520, val: 0
mem: 140676402516519, val: 0
mem: 140676402516518, val: 0
mem: 140676402516517, val: 0
mem: 140676402516516, val: 0
mem: 140676402516515, val: 0
mem: 140676402516514, val: 0
mem: 140676402516513, val: 0
mem: 140676402516512, val: 0
mem: 140676402516511, val: 0
mem: 140676402516510, val: 0
mem: 140676402516509, val: 0
mem: 140676402516508, val: 0
mem: 140676402516507, val: 0
mem: 140676402516506, val: 0
mem: 140676402516505, val: 0
mem: 140676402516504, val: 0
mem: 140676402516503, val: 0
mem: 140676402516502, val: 0
mem: 140676402516501, val: 0
mem: 140676402516500, val: 0
mem: 140676402516499, val: 0
mem: 140676402516498, val: 0
mem: 140676402516497, val: 0
mem: 140676402516496, val: 0
mem: 140676402516495, val: 0
mem: 140676402516494, val: 0
mem: 140676402516493, val: 0
mem: 140676402516492, val: 0
mem: 140676402516491, val: 0
mem: 140676402516490, val: 0
mem: 140676402516489, val: 0
mem: 140676402516488, val: 0
mem: 140676402516487, val: 0
mem: 140676402516486, val: 0
mem: 140676402516485, val: 0
mem: 140676402516484, val: 0
mem: 140676402516483, val: 0
mem: 140676402516482, val: 0
mem: 140676402516481, val: 0
mem: 140676402516480, val: 0
mem: 140676402516479, val: 0
mem: 140676402516478, val: 0
mem: 140676402516477, val: 0
mem: 140676402516476, val: 0
mem: 140676402516475, val: 0
mem: 140676402516474, val: 0
mem: 140676402516473, val: 0
mem: 140676402516472, val: 0
mem: 140676402516471, val: 0
mem: 140676402516470, val: 0
mem: 140676402516469, val: 0
mem: 140676402516468, val: 0
mem: 140676402516467, val: 0
mem: 140676402516466, val: 0
mem: 140676402516465, val: 0
mem: 140676402516464, val: 0
mem: 140676402516463, val: 0
mem: 140676402516462, val: 0
mem: 140676402516461, val: 0
mem: 140676402516460, val: 0
mem: 140676402516459, val: 0
mem: 140676402516458, val: 0
mem: 140676402516457, val: 0
mem: 140676402516456, val: 0
mem: 140676402516455, val: 0
mem: 140676402516454, val: 0
mem: 140676402516453, val: 0
mem: 140676402516452, val: 0
mem: 140676402516451, val: 0
mem: 140676402516450, val: 0
mem: 140676402516449, val: 0
mem: 140676402516448, val: 0
mem: 140676402516447, val: 0
mem: 140676402516446, val: 0
mem: 140676402516445, val: 0
mem: 140676402516444, val: 0
mem: 140676402516443, val: 0
mem: 140676402516442, val: 0
mem: 140676402516441, val: 0
mem: 140676402516440, val: 0
mem: 140676402516439, val: 0
mem: 140676402516438, val: 0
mem: 140676402516437, val: 0
mem: 140676402516436, val: 0
mem: 140676402516435, val: 0
mem: 140676402516434, val: 0
mem: 140676402516433, val: 0
mem: 140676402516432, val: 0
